image,scene,color,object_id,area_px
books_boosted.png,books_boosted,red,1,5887
books_boosted.png,books_boosted,red,2,6543
books_boosted.png,books_boosted,red,3,15853
books_boosted.png,books_boosted,red,4,6331
books_boosted.png,books_boosted,red,5,10753
books_boosted.png,books_boosted,red,6,9858
books_boosted.png,books_boosted,red,7,13228
books_boosted.png,books_boosted,red,8,11361
books_boosted.png,books_boosted,red,9,16612
books_boosted.png,books_boosted,red,10,3445
books_boosted.png,books_boosted,red,11,5280
books_boosted.png,books_boosted,red,12,16613
books_boosted.png,books_boosted,red,13,9998
books_boosted.png,books_boosted,red,14,2698
books_boosted.png,books_boosted,red,15,8090
books_boosted.png,books_boosted,red,16,16914
books_boosted.png,books_boosted,red,17,27751
books_boosted.png,books_boosted,red,18,33613
books_boosted.png,books_boosted,red2,1,23136
books_boosted.png,books_boosted,red2,2,9930
books_boosted.png,books_boosted,red2,3,42089
books_boosted.png,books_boosted,red2,4,18455
books_boosted.png,books_boosted,red2,5,18509
books_boosted.png,books_boosted,red2,6,18255
books_boosted.png,books_boosted,blue_dark,1,13232
books_boosted.png,books_boosted,blue_dark,2,3835
books_boosted.png,books_boosted,blue_dark,3,2622
books_boosted.png,books_boosted,blue_dark,4,3073
books_boosted.png,books_boosted,blue_dark,5,3807
books_boosted.png,books_boosted,blue_dark,6,3963
books_boosted.png,books_boosted,blue_dark,7,3879
books_boosted.png,books_boosted,blue_dark,8,4073
books_boosted.png,books_boosted,blue_dark,9,3785
books_boosted.png,books_boosted,blue_dark,10,2188
books_boosted.png,books_boosted,blue_dark,11,10858
books_boosted.png,books_boosted,blue_dark,12,9227
books_boosted.png,books_boosted,blue_dark,13,33847
books_boosted.png,books_boosted,blue_dark,14,6431
books_boosted.png,books_boosted,blue_dark,15,7493
books_boosted.png,books_boosted,blue_dark,16,10776
books_boosted.png,books_boosted,blue_dark,17,17146
books_boosted.png,books_boosted,blue_dark,18,16729
books_boosted.png,books_boosted,blue_dark,19,23385
books_boosted.png,books_boosted,blue_dark,20,16594
books_boosted.png,books_boosted,blue_dark,21,20294
books_boosted.png,books_boosted,blue_dark,22,21778
books_boosted.png,books_boosted,blue_dark,23,15529
books_boosted.png,books_boosted,blue_dark,24,13131
books_boosted.png,books_boosted,blue_dark,25,178510
books_boosted.png,books_boosted,blue_dark,26,35987
books_boosted.png,books_boosted,blue_light,1,11340
books_boosted.png,books_boosted,blue_light,2,3163
books_boosted.png,books_boosted,blue_light,3,5665
books_boosted.png,books_boosted,blue_light,4,2704
books_boosted.png,books_boosted,blue_light,5,7321
books_boosted.png,books_boosted,blue_light,6,7682
books_boosted.png,books_boosted,blue_light,7,3172
books_boosted.png,books_boosted,blue_light,8,2945
books_boosted.png,books_boosted,blue_light,9,3286
books_boosted.png,books_boosted,blue_light,10,4857
books_boosted.png,books_boosted,blue_light,11,5440
books_boosted.png,books_boosted,blue_light,12,3822
books_boosted.png,books_boosted,blue_light,13,5270
books_boosted.png,books_boosted,blue_light,14,4580
books_boosted.png,books_boosted,blue_light,15,23571
