image,scene,color,object_id,area_px
books_boosted.png,books_boosted,white,13,1255
books_boosted.png,books_boosted,white,14,1177
books_boosted.png,books_boosted,white,15,1358
books_boosted.png,books_boosted,white,16,3617
books_boosted.png,books_boosted,white,17,945
books_boosted.png,books_boosted,white,18,945
books_boosted.png,books_boosted,white,19,1402
books_boosted.png,books_boosted,white,20,1197
books_boosted.png,books_boosted,white,21,844
books_boosted.png,books_boosted,white,22,1820
books_boosted.png,books_boosted,white,23,1630
books_boosted.png,books_boosted,white,24,1841
books_boosted.png,books_boosted,white,25,6642
books_boosted.png,books_boosted,white,26,4581
books_boosted.png,books_boosted,white,27,4812
books_boosted.png,books_boosted,white,28,11662
books_boosted.png,books_boosted,white,29,4585
books_boosted.png,books_boosted,brown,1,781
books_boosted.png,books_boosted,brown,2,3980
books_boosted.png,books_boosted,brown,3,7053
books_boosted.png,books_boosted,brown,4,3223
books_boosted.png,books_boosted,brown,5,5275
books_boosted.png,books_boosted,brown,6,7139
books_boosted.png,books_boosted,brown,7,1998
books_boosted.png,books_boosted,brown,8,2250
books_boosted.png,books_boosted,brown,9,11652
books_boosted.png,books_boosted,brown,10,10734
books_boosted.png,books_boosted,brown,11,14326
books_boosted.png,books_boosted,brown,12,16705
books_boosted.png,books_boosted,brown,13,8715
books_boosted.png,books_boosted,brown,14,4928
books_boosted.png,books_boosted,brown,15,4149
books_boosted.png,books_boosted,brown,16,2417
books_boosted.png,books_boosted,brown,17,32787
books_boosted.png,books_boosted,brown,18,3979
books_boosted.png,books_boosted,brown,19,4859
